reviewer,date,rating,title,text,source,cleaned_text,text_no_stop,stemmed_text,review_length
Koko Cinelle,,,No Title (Google Maps),"Cadre très moderne et chaleureux ! un petit bémol sur les environs. Pas touristique.
Mais l'hôtel est soigneusement décoré et propre. Le lounge est topissime 👍😜 …",Google Maps,"cadre très moderne et chaleureux  un petit bémol sur les environs pas touristique
mais lhôtel est soigneusement décoré et propre le lounge est topissime",cadre très moderne chaleureux petit bémol environs touristique lhôtel est soigneusement décoré propre lounge est topissime,cadre trè moderne chaleureux petit bémol environ touristique lhôtel est soigneuse décoré propre lounge est topissime,16
Sonia Ben mohamed,,,No Title (Google Maps),"Hôtel au top !! Personnel très sympathique, chambres de grande classe , lit super confortable, propreté irréprochable. Je recommande fortement cet établissement !",Google Maps,hôtel au top  personnel très sympathique chambres de grande classe  lit super confortable propreté irréprochable je recommande fortement cet établissement,hôtel top personnel très sympathique chambres grande classe lit super confortable propreté irréprochable recommande fortement établissement,hôtel top personnel trè sympathique chambre grande classe lit super confortable propreté irréprochable recommande forte établisse,16
wassim bouraoui,,,No Title (Google Maps),"Un accueil chaleureux et un service soigné
Excellent hôtel Business",Google Maps,"un accueil chaleureux et un service soigné
excellent hôtel business",accueil chaleureux service soigné excellent hôtel business,accueil chaleureux service soigné excellent hôtel busines,7
Xavier Baudlet,,,No Title (Google Maps),"Chambres confortables, personnel accueillant, cuisine correct. Juste un petit bémol : le Luna Sky un peu bruyant Di on est juste en dessous mais c'est tellement agréable d'y passer un moment qu'on le pardonne presque 😜 …",Google Maps,chambres confortables personnel accueillant cuisine correct juste un petit bémol  le luna sky un peu bruyant di on est juste en dessous mais cest tellement agréable dy passer un moment quon le pardonne presque,chambres confortables personnel accueillant cuisine correct juste petit bémol luna sky peu bruyant di est juste dessous cest tellement agréable dy passer moment quon pardonne presque,chambre confortable personnel accueillant cuisine correct juste petit bémol luna sky peu bruyant di est juste dessou cest telle agréable dy passer mo quon pardonne presque,26
charrad wado,,,No Title (Google Maps),"hotel un peux cher face au service
trop de bruit la nuit cause du disco
je demander mon petit deuj au chambre il mon oublier",Google Maps,"hotel un peux cher face au service
trop de bruit la nuit cause du disco
je demander mon petit deuj au chambre il mon oublier",hotel peux cher face service trop bruit nuit cause disco demander petit deuj chambre oublier,hotel peux cher face service trop bruit nuit cause disco demander petit deuj chambre oublier,15
Alexandra Zepina,,,No Title (Google Maps),J'ai beaucoup aime cette hôtel accueil très chaleureux personnel et a votre écoute et particulièrement MR Bibel au service maintenance qui a intervenu durant mon séjour très bon technicien gardez le précieusement  je recommande cette hôtel si vous souhzitez passer un bon séjour Mr et Mme Tlili,Google Maps,jai beaucoup aime cette hôtel accueil très chaleureux personnel et a votre écoute et particulièrement mr bibel au service maintenance qui a intervenu durant mon séjour très bon technicien gardez le précieusement  je recommande cette hôtel si vous souhzitez passer un bon séjour mr et mme tlili,jai beaucoup aime hôtel accueil très chaleureux personnel écoute particulièrement mr bibel service maintenance intervenu durant séjour très bon technicien gardez précieusement recommande hôtel si souhzitez passer bon séjour mr mme tlili,jai beaucoup aime hôtel accueil trè chaleureux personnel écoute particulière mr bibel service maintenance intervenu durant séjour trè bon technicien gardez précieuse recommande hôtel si souhzitez passer bon séjour mr mme tlili,32
Nadhmi Nouasri,,,No Title (Google Maps),"Véritable vitrine de la Tunisie moderne alliant modernisme et identité, BUSINESS HOTEL est un hôtel d’affaires au cœur du centre ville de Tunis, Idéalement situé dans le quartier d’affaires Montplaisir, à 10 mn de celui des berges du Lac et …",Google Maps,véritable vitrine de la tunisie moderne alliant modernisme et identité business hotel est un hôtel daffaires au cœur du centre ville de tunis idéalement situé dans le quartier daffaires montplaisir à  mn de celui des berges du lac et,véritable vitrine tunisie moderne alliant modernisme identité business hotel est hôtel daffaires cœur centre ville tunis idéalement situé quartier daffaires montplaisir mn berges lac,véritable vitrine tunisie moderne alliant modernisme identité busines hotel est hôtel daffaire cœur centre ville tuni idéale situé quartier daffaire montplaisir mn berge lac,24
Karim DIOURI EL OULAM,,,No Title (Google Maps),"Trop de bruit du Bar! Ce n'est pas un hôtel destiné a un séjour professionnel ! Salle de bain pas très propre, très mauvaise odeur sur les serviettes de bain..... Très déçu !!!!!",Google Maps,trop de bruit du bar ce nest pas un hôtel destiné a un séjour professionnel  salle de bain pas très propre très mauvaise odeur sur les serviettes de bain très déçu,trop bruit bar nest hôtel destiné séjour professionnel salle bain très propre très mauvaise odeur serviettes bain très déçu,trop bruit bar nest hôtel destiné séjour professionnel salle bain trè propre trè mauvaise odeur serviette bain trè déçu,19
Mehdi Bouricha,,,No Title (Google Maps),"Bjsiness hotel est un bon hotel du centre ville
Je le connais beaucoup plus pour ses soirees hivernales
Le rooftop est bien organise et les groupes invites sont sympas
Note negatif pour les portiers pas a la hauteur de l endroit",Google Maps,"bjsiness hotel est un bon hotel du centre ville
je le connais beaucoup plus pour ses soirees hivernales
le rooftop est bien organise et les groupes invites sont sympas
note negatif pour les portiers pas a la hauteur de l endroit",bjsiness hotel est bon hotel centre ville connais beaucoup plus soirees hivernales rooftop est bien organise groupes invites sont sympas note negatif portiers hauteur endroit,bjsines hotel est bon hotel centre ville connai beaucoup plu soiree hivernale rooftop est bien organise groupe invite sont sympa note negatif portier hauteur endroit,25
A. Martínez,,,No Title (Google Maps),"Comportement mafieux dans les réservations.
Ils suppriment la réservation quelques heures après mon arrivée à l'hotel et pendant que je voyage dans l'avion.",Google Maps,"comportement mafieux dans les réservations
ils suppriment la réservation quelques heures après mon arrivée à lhotel et pendant que je voyage dans lavion",comportement mafieux réservations suppriment réservation quelques heures après arrivée lhotel pendant voyage lavion,comporte mafieux réservation suppri réservation quelque heure aprè arrivée lhotel pendant voyage lavion,13
