reviewer,date,rating,title,text,source,cleaned_text,text_no_stop,stemmed_text,review_length
Abdulaziz,,,No Title (Google Maps),"Un hôtel très agréable 🏨
Personnel aimable et accueillant
Propreté irréprochable …",Google Maps,"un hôtel très agréable 
personnel aimable et accueillant
propreté irréprochable",hôtel très agréable personnel aimable accueillant propreté irréprochable,hôtel trè agréable personnel aimable accueillant propreté irréprochable,8
juanma santano,,,No Title (Google Maps),"Un excellent hôtel, avec des attentions très appréciées dans les chambres, comme une machine à café Nespresso et des lits et oreillers très confortables. Seul bémol : l'hôtel est très délabré. Un bar musical au dernier étage transmet des vibrations aux autres étages.",Google Maps,un excellent hôtel avec des attentions très appréciées dans les chambres comme une machine à café nespresso et des lits et oreillers très confortables seul bémol  lhôtel est très délabré un bar musical au dernier étage transmet des vibrations aux autres étages,excellent hôtel attentions très appréciées chambres machine café nespresso lits oreillers très confortables seul bémol lhôtel est très délabré bar musical dernier étage transmet vibrations autres étages,excellent hôtel attention trè appréciée chambre machine café nespresso lit oreiller trè confortable seul bémol lhôtel est trè délabré bar musical dernier étage transmet vibration autre étage,27
Ouss Na,,,No Title (Google Maps),"Excellent hôtel avec un excellent service, personnel très sympathique, chambres propres, excellent service en chambre, excellents repas, excellent petit-déjeuner, le salon et le bar sont super, les prix sont très raisonnables, je recommande vivement cet hôtel",Google Maps,excellent hôtel avec un excellent service personnel très sympathique chambres propres excellent service en chambre excellents repas excellent petitdéjeuner le salon et le bar sont super les prix sont très raisonnables je recommande vivement cet hôtel,excellent hôtel excellent service personnel très sympathique chambres propres excellent service chambre excellents repas excellent petitdéjeuner salon bar sont super prix sont très raisonnables recommande vivement hôtel,excellent hôtel excellent service personnel trè sympathique chambre propre excellent service chambre excellent repa excellent petitdéjeuner salon bar sont super prix sont trè raisonnable recommande vive hôtel,27
miled feghali,,,No Title (Google Maps),"NE RÉSERVEZ JAMAIS DANS CET HÔTEL.
J'ai appelé l'hôtel concernant des problèmes de réservation. Ils ont contacté Booking.com alors que c'était leur responsabilité. La réceptionniste était désagréable et négligente, et ils ne m'ont jamais remboursé. J'ai dû payer 300 €.",Google Maps,"ne réservez jamais dans cet hôtel
jai appelé lhôtel concernant des problèmes de réservation ils ont contacté bookingcom alors que cétait leur responsabilité la réceptionniste était désagréable et négligente et ils ne mont jamais remboursé jai dû payer",réservez jamais hôtel jai appelé lhôtel concernant problèmes réservation ont contacté bookingcom cétait responsabilité réceptionniste était désagréable négligente mont jamais remboursé jai dû payer,réservez jamai hôtel jai appelé lhôtel concernant problème réservation ont contacté bookingcom cétait responsabilité réceptionniste était désagréable négligente mont jamai remboursé jai dû payer,24
beerd2022,,,No Title (Google Maps),"J'ai beaucoup apprécié mon séjour dans les suites de l'hôtel Business. Le service personnalisé est d'une grande qualité. Merci à toute l'équipe et un merci tout particulier à Saoussen, toujours souriante et attentive au moindre détail. « Elle est la meilleure ! » Je recommande cet endroit à tous mes amis.",Google Maps,jai beaucoup apprécié mon séjour dans les suites de lhôtel business le service personnalisé est dune grande qualité merci à toute léquipe et un merci tout particulier à saoussen toujours souriante et attentive au moindre détail  elle est la meilleure   je recommande cet endroit à tous mes amis,jai beaucoup apprécié séjour suites lhôtel business service personnalisé est dune grande qualité merci toute léquipe merci tout particulier saoussen toujours souriante attentive moindre détail est meilleure recommande endroit tous amis,jai beaucoup apprécié séjour suite lhôtel busines service personnalisé est dune grande qualité merci toute léquipe merci tout particulier saoussen toujour souriante attentive moindre détail est meilleure recommande endroit tou ami,31
shadae2022,,,No Title (Google Maps),"Très bruyant à cause de la musique. Manque de respect pour les personnes qui ont des affaires à régler le matin. Je n'y retournerai pas et je le déconseille à quiconque souhaite dormir la nuit, car l'insonorisation est inexistante.",Google Maps,très bruyant à cause de la musique manque de respect pour les personnes qui ont des affaires à régler le matin je ny retournerai pas et je le déconseille à quiconque souhaite dormir la nuit car linsonorisation est inexistante,très bruyant cause musique manque respect personnes ont affaires régler matin ny retournerai déconseille quiconque souhaite dormir nuit linsonorisation est inexistante,trè bruyant cause musique manque respect personne ont affaire régler matin ny retournerai déconseille quiconque souhaite dormir nuit linsonorisation est inexistante,21
AlshafiS,,,No Title (Google Maps),"L'hébergement, le service et la tranquillité sont exceptionnels. J'ai hâte de découvrir leurs prochaines prestations. C'est mon adresse de prédilection depuis deux ans et je la recommande systématiquement à mes amis. Le petit-déjeuner est …",Google Maps,lhébergement le service et la tranquillité sont exceptionnels jai hâte de découvrir leurs prochaines prestations cest mon adresse de prédilection depuis deux ans et je la recommande systématiquement à mes amis le petitdéjeuner est,lhébergement service tranquillité sont exceptionnels jai hâte découvrir leurs prochaines prestations cest adresse prédilection depuis deux ans recommande systématiquement amis petitdéjeuner est,lhéberge service tranquillité sont exceptionnel jai hâte découvrir leur prochaine prestation cest adresse prédilection depui deux an recommande systématique ami petitdéjeuner est,22
873melekt,,,No Title (Google Maps),"Je tiens à exprimer ma sincère gratitude à chacun d'entre vous pour votre accueil chaleureux et attentionné. L'hôtel était très confortable, propre et idéalement situé. Les commerces étaient à deux pas ! Avec les remparts de la ville juste à côté, je vous remercie tout particulièrement pour cette atmosphère si conviviale.",Google Maps,je tiens à exprimer ma sincère gratitude à chacun dentre vous pour votre accueil chaleureux et attentionné lhôtel était très confortable propre et idéalement situé les commerces étaient à deux pas  avec les remparts de la ville juste à côté je vous remercie tout particulièrement pour cette atmosphère si conviviale,tiens exprimer sincère gratitude chacun dentre accueil chaleureux attentionné lhôtel était très confortable propre idéalement situé commerces étaient deux remparts ville juste côté remercie tout particulièrement atmosphère si conviviale,tien exprimer sincère gratitude chacun dentre accueil chaleureux attentionné lhôtel était trè confortable propre idéale situé commerce étaient deux rempart ville juste côté remercie tout particulière atmosphère si conviviale,29
Yassine999,,,No Title (Google Maps),"J'ai vraiment apprécié le service professionnel, l'amabilité et la gentillesse des personnes qui travaillent à l'hôtel et surtout : Miss Marwa, Miss Saossen, Miss Mariem et Miss Wissal.||Grazie a tutti per lo sforzo che fai per soddisfare i tuoi clienti",Google Maps,jai vraiment apprécié le service professionnel lamabilité et la gentillesse des personnes qui travaillent à lhôtel et surtout  miss marwa miss saossen miss mariem et miss wissalgrazie a tutti per lo sforzo che fai per soddisfare i tuoi clienti,jai vraiment apprécié service professionnel lamabilité gentillesse personnes travaillent lhôtel surtout miss marwa miss saossen miss mariem miss wissalgrazie tutti per lo sforzo che fai per soddisfare i tuoi clienti,jai vrai apprécié service professionnel lamabilité gentillesse personne travaillent lhôtel surtout mis marwa mis saossen mis mariem mis wissalgrazie tutti per lo sforzo che fai per soddisfare i tuoi clienti,30
Roberto Russo,,,No Title (Google Maps),"Un hôtel plutôt sympa, très proche du centre, le personnel est très gentil et serviable... pour ceux qui veulent découvrir Tunis c'est parfait.",Google Maps,un hôtel plutôt sympa très proche du centre le personnel est très gentil et serviable pour ceux qui veulent découvrir tunis cest parfait,hôtel plutôt sympa très proche centre personnel est très gentil serviable ceux veulent découvrir tunis cest parfait,hôtel plutôt sympa trè proche centre personnel est trè gentil serviable ceux veulent découvrir tuni cest parfait,17
Yerulan Ataibekov,,,No Title (Google Maps),"C'est un véritable hôtel d'affaires avec tous les services standards. Parfait pour une nuit, alhamdulillah.",Google Maps,cest un véritable hôtel daffaires avec tous les services standards parfait pour une nuit alhamdulillah,cest véritable hôtel daffaires tous services standards parfait nuit alhamdulillah,cest véritable hôtel daffaire tou service standard parfait nuit alhamdulillah,10
Mas Moblie,,,No Title (Google Maps),"C'est un hôtel vraiment très respectable et propre, idéalement situé et proche de tous les sites touristiques. Le personnel de la réception est souriant et toujours souriant.",Google Maps,cest un hôtel vraiment très respectable et propre idéalement situé et proche de tous les sites touristiques le personnel de la réception est souriant et toujours souriant,cest hôtel vraiment très respectable propre idéalement situé proche tous sites touristiques personnel réception est souriant toujours souriant,cest hôtel vrai trè respectable propre idéale situé proche tou site touristique personnel réception est souriant toujour souriant,18
Mahda Ahmed,,,No Title (Google Maps),"Honnêtement, l'hôtel était excellent en termes d'installations, d'accueil et de petit-déjeuner, qui était tout à fait correct. Cependant, il y avait du bruit ; la musique de la discothèque était assez forte.",Google Maps,honnêtement lhôtel était excellent en termes dinstallations daccueil et de petitdéjeuner qui était tout à fait correct cependant il y avait du bruit  la musique de la discothèque était assez forte,honnêtement lhôtel était excellent termes dinstallations daccueil petitdéjeuner était tout fait correct cependant bruit musique discothèque était assez forte,honnête lhôtel était excellent terme dinstallation daccueil petitdéjeuner était tout fait correct cependant bruit musique discothèque était assez forte,19
SALVO PAPPALARDO,,,No Title (Google Maps),"Très bel hôtel avec garage en dessous, hôtel important pour moi puisque je voyage en moto, chambres propres, bon petit déjeuner",Google Maps,très bel hôtel avec garage en dessous hôtel important pour moi puisque je voyage en moto chambres propres bon petit déjeuner,très bel hôtel garage dessous hôtel important puisque voyage moto chambres propres bon petit déjeuner,trè bel hôtel garage dessou hôtel important puisque voyage moto chambre propre bon petit déjeuner,15
